cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
32_8,342,43.27,31.29,22.81,2.63,13839.0,5704.0,25294.0,8.49,563.0
32_9,293,42.66,25.26,15.02,17.06,6056.0,1594.0,16165.0,27.78,839.0
33_0,1549,35.44,26.28,31.96,6.33,8915.0,3292.0,19634.0,16.31,844.0
33_1,6920,36.5,43.03,17.67,2.79,14258.0,6021.0,27362.0,8.31,847.0
33_2,3066,35.0,42.69,18.2,4.11,14680.0,5984.0,28202.0,9.12,844.0
33_3,7755,32.08,23.66,33.4,10.86,7384.0,2495.0,17252.0,21.08,872.0
33_4,4110,32.85,41.29,21.92,3.94,12795.0,4936.0,25631.0,9.94,868.0
33_5,2299,36.32,42.5,17.18,4.0,15416.0,6574.0,28750.0,8.6,864.0
33_6,8172,34.19,22.92,25.22,17.67,6104.0,1583.0,16580.0,28.81,916.0
33_7,1990,34.42,44.67,18.54,2.36,15236.0,6884.0,28744.0,6.76,860.0
33_8,975,33.33,43.38,17.03,6.26,13099.0,4760.0,25578.0,12.92,872.0
34_0,182,33.52,42.31,21.98,2.2,14477.0,7082.0,25168.0,4.23,730.0
34_1,350,29.43,50.29,18.57,1.71,15086.0,7313.0,26878.0,5.68,804.0
34_2,378,38.89,44.44,15.87,0.79,15726.0,6968.0,26899.0,5.96,575.0
34_3,236,33.47,47.88,16.1,2.54,14902.0,6744.0,27108.0,6.86,722.0
34_4,231,33.77,48.48,17.75,0.0,18125.0,7925.0,31128.0,3.64,682.0
35_0,161,40.37,43.48,14.91,1.24,15160.0,8460.0,29757.0,6.31,572.0
35_1,429,33.33,44.29,20.75,1.63,15114.0,6098.0,25772.0,6.36,611.0
35_10,969,37.77,39.83,20.64,1.75,13067.0,5909.0,23966.0,9.15,501.0
35_11,993,34.74,38.97,24.47,1.81,13813.0,5786.0,25906.0,6.92,550.0
35_12,5620,37.69,42.49,18.51,1.32,13920.0,6835.0,25298.0,5.94,448.0
35_13,505,38.02,43.37,16.83,1.78,13388.0,6430.0,23377.0,5.63,389.0
35_14,1360,32.87,41.25,24.12,1.76,12470.0,5534.0,25210.0,8.3,654.0
35_15,1074,36.96,41.25,20.2,1.58,14267.0,6518.0,25479.0,6.26,613.0
35_2,1093,33.21,41.9,22.42,2.47,11942.0,5715.0,22808.0,8.11,497.0
35_3,451,41.46,44.79,12.64,1.11,18730.0,10070.0,31015.0,3.75,524.0
35_4,192,29.17,43.75,25.0,2.08,11191.0,4932.0,20745.0,7.69,488.0
35_5,865,35.14,39.31,23.35,2.2,12904.0,5780.0,24446.0,8.12,577.0
35_6,1633,44.15,46.3,8.45,1.1,15376.0,7406.0,27822.0,6.48,272.0
35_7,824,36.04,44.05,19.05,0.85,14158.0,6726.0,26270.0,5.5,492.0
35_8,3925,32.69,33.73,30.19,3.39,10315.0,4347.0,21552.0,11.78,819.0
35_9,4903,33.33,36.57,27.53,2.57,11342.0,4702.0,22961.0,10.62,764.0
3_0,371,37.47,50.94,10.78,0.81,16973.0,8120.0,28465.0,4.17,656.0
3_1,1446,48.27,41.42,9.2,1.11,17826.0,8384.0,31566.0,4.74,505.0
3_10,184,36.96,47.83,14.13,1.09,17078.0,8171.0,27369.0,6.35,582.0
3_2,642,39.56,42.68,16.04,1.71,15648.0,6771.0,29858.0,5.48,732.0
3_3,226,43.81,44.25,11.5,0.44,19714.0,9160.0,31786.0,1.31,706.0
3_4,162,43.21,42.59,12.96,1.23,17671.0,7494.0,31403.0,4.63,548.0
3_5,1193,36.3,47.78,14.17,1.76,16832.0,7001.0,30136.0,6.49,823.0
3_6,478,31.59,50.21,17.15,1.05,14454.0,6804.0,27438.0,7.14,670.0
